State,City,Population
Alabama,Abbeville,2624
Alabama,Abernant,7599
Alabama,Adamsville,4435
Alabama,Addison,749
Alabama,Akron,338
Alabama,Alabaster,31545
Alabama,Alberta,1632
Alabama,Albertville,21458
Alabama,Alexander City,14849
Alabama,Alexandria,3917
Alabama,Aliceville,2388
Alabama,Allgood,628
Alabama,Altoona,928
Alabama,Andalusia,9081
Alabama,Anderson,279
Alabama,Anniston,22457
Alabama,Arab,8284
Alabama,Ardmore,1341
Alabama,Argo,4187
Alabama,Ariton,745
Alabama,Arley,356
Alabama,Arsenal,2675
Alabama,Ashford,2164
Alabama,Ashland,1984
Alabama,Ashville,2255
Alabama,Athens,24522
Alabama,Atmore,10006
Alabama,Attalla,5940
Alabama,Auburn,60258
Alabama,Autaugaville,865
Alabama,Avon,535
Alabama,Axis,757
Alabama,Babbie,607
Alabama,Baileyton-Joppa,5808
Alabama,Baileyton,620
Alabama,Bakerhill,3743
Alabama,Ballplay,1580
Alabama,Banks-Josie,2197
Alabama,Bay Minette,9049
Alabama,Bayou La Batre,2636
Alabama,Bear Creek,1052
Alabama,Beatrice,289
Alabama,Beauregard-Marvyn,10469
Alabama,Belk,211
Alabama,Bellamy,543
Alabama,Belle Fontaine,608
Alabama,Bellwood-Coffee Springs,2436
Alabama,Belmont,502
Alabama,Benton-Collirene,2168
Alabama,Berry,1120
Alabama,Bessemer,26949
Alabama,Beulah,6187
Alabama,Bexar,1622
Alabama,Big Sandy-Duncanville,8894
Alabama,Birmingham,212247
Alabama,Black,207
Alabama,Blountsville,1698
Alabama,Blue Mountain,236
Alabama,Blue Ridge,1341
Alabama,Boaz,9689
Alabama,Boligee,311
Alabama,Boykin,275
Alabama,Braggs-Prairie Hill,2135
Alabama,Branchville,995
Alabama,Brantleyville,884
Alabama,Brantley,808
Alabama,Bremen,8517
Alabama,Brent,4881
Alabama,Brewton,5391
Alabama,Bridgeport,2372
Alabama,Brighton,2885
Alabama,Brilliant,887
Alabama,Bristow Cove,683
Alabama,Brook Highland,6746
Alabama,Brookside,1340
Alabama,Brooksville,5122
Alabama,Brookwood,1834
Alabama,Brundidge,2001
Alabama,Butler,1819
